Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","1.92359662055969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"YWHAQ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta","Protein Coding","P27348","59","GC02M009583","1.92359662055969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ"
"MMP7","Matrix Metallopeptidase 7","Protein Coding","P09237","60","GC11M133496","1.92353546619415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP7"
"FCGR2A","Fc Gamma Receptor IIa","Protein Coding","P12318","60","GC01P161505","1.92283344268799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"TUBA1A","Tubulin Alpha 1a","Protein Coding","Q71U36","61","GC12M049184","1.92194449901581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1A"
"EIF2AK2","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2","Protein Coding","P19525","62","GC02M037099","1.91934871673584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK2"
"TGFB2","Transforming Growth Factor Beta 2","Protein Coding","P61812","64","GC01P218345","1.91416704654694","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2"
"CCR7","C-C Motif Chemokine Receptor 7","Protein Coding","P32248","57","GC17M089298","1.91257405281067","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR7"
"APOBEC2","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 2","Protein Coding","Q9Y235","45","GC06P041053","1.91250109672546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC2"
"COCH","Cochlin","Protein Coding","O43405","54","GC14P030874","1.909104347229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COCH"
"IFNA7","Interferon Alpha 7","Protein Coding","P01567","44","GC09M022226","1.90743517875671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA7"
"RNASEH2A","Ribonuclease H2 Subunit A","Protein Coding","O75792","56","GC19P132436","1.90726041793823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2A"
