Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CARMIL2","Capping Protein Regulator And Myosin 1 Linker 2","Protein Coding","Q6F5E8","47","GC16P067644","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARMIL2"
"CCAR1","Cell Division Cycle And Apoptosis Regulator 1","Protein Coding","Q8IX12","47","GC10P068721","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR1"
"CCDC47","Coiled-Coil Domain Containing 47","Protein Coding","Q96A33","47","GC17M063745","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC47"
"CEMIP2","Cell Migration Inducing Hyaluronidase 2","Protein Coding","Q9UHN6","47","GC09M071684","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEMIP2"
"CEP131","Centrosomal Protein 131","Protein Coding","Q9UPN4","47","GC17M081189","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP131"
"CEP72","Centrosomal Protein 72","Protein Coding","Q9P209","47","GC05P000612","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP72"
"CFDP1","Craniofacial Development Protein 1","Protein Coding","Q9UEE9","47","GC16M075294","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFDP1"
"CHST1","Carbohydrate Sulfotransferase 1","Protein Coding","O43916","47","GC11M045647","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST1"
"CRCP","CGRP Receptor Component","Protein Coding","O75575","47","GC07P066114","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRCP"
"DACH2","Dachshund Family Transcription Factor 2","Protein Coding","Q96NX9","47","GC0XP086148","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DACH2"
"DDX50","DExD-Box Helicase 50","Protein Coding","Q9BQ39","47","GC10P068901","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX50"
"DDX52","DExD-Box Helicase 52","Protein Coding","Q9Y2R4","47","GC17M037609","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX52"
"DPH5","Diphthamide Biosynthesis 5","Protein Coding","Q9H2P9","47","GC01M100989","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPH5"
"DPT","Dermatopontin","Protein Coding","Q07507","47","GC01M168696","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPT"
"DRP2","Dystrophin Related Protein 2","Protein Coding","Q13474","47","GC0XP101219","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRP2"
"DYNC1LI1","Dynein Cytoplasmic 1 Light Intermediate Chain 1","Protein Coding","Q9Y6G9","47","GC03M032543","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1LI1"
"DYNC1LI2","Dynein Cytoplasmic 1 Light Intermediate Chain 2","Protein Coding","O43237","47","GC16M066867","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1LI2"
"DYNLT2B","Dynein Light Chain Tctex-Type 2B","Protein Coding","Q8WW35","47","GC03M196588","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLT2B"
"EBAG9","Estrogen Receptor Binding Site Associated Antigen 9","Protein Coding","O00559","47","GC08P109554","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBAG9"
"ELK3","ETS Transcription Factor ELK3","Protein Coding","P41970","47","GC12P096194","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELK3"
"EMB","Embigin","Protein Coding","Q6PCB8","47","GC05M050396","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMB"
"EMP1","Epithelial Membrane Protein 1","Protein Coding","P54849","47","GC12P013196","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMP1"
"EXOC1","Exocyst Complex Component 1","Protein Coding","Q9NV70","47","GC04P055853","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC1"
"FBXO5","F-Box Protein 5","Protein Coding","Q9UKT4","47","GC06M152970","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO5"
"GABPA","GA Binding Protein Transcription Factor Subunit Alpha","Protein Coding","Q06546","47","GC21P025734","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABPA"
"GCFC2","GC-Rich Sequence DNA-Binding Factor 2","Protein Coding","P16383","47","GC02M075652","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCFC2"
"GCM1","Glial Cells Missing Transcription Factor 1","Protein Coding","Q9NP62","47","GC06M100685","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCM1"
"GEMIN6","Gem Nuclear Organelle Associated Protein 6","Protein Coding","Q8WXD5","47","GC02P038751","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN6"
"GNG12","G Protein Subunit Gamma 12","Protein Coding","Q9UBI6","47","GC01M067701","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNG12"
"GOSR1","Golgi SNAP Receptor Complex Member 1","Protein Coding","O95249","47","GC17P030477","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOSR1"
"GPKOW","G-Patch Domain And KOW Motifs","Protein Coding","Q92917","47","GC0XM049113","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPKOW"
"GPR85","G Protein-Coupled Receptor 85","Protein Coding","P60893","47","GC07M113078","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR85"
"GTF2H2","General Transcription Factor IIH Subunit 2","Protein Coding","Q13888","47","GC05M079618","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2H2"
"HTRA3","HtrA Serine Peptidase 3","Protein Coding","P83110","47","GC04P008269","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA3"
"IFITM2","Interferon Induced Transmembrane Protein 2","Protein Coding","Q01629","47","GC11P013984","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM2"
"IGSF11","Immunoglobulin Superfamily Member 11","Protein Coding","Q5DX21","47","GC03M118900","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGSF11"
"IL9R","Interleukin 9 Receptor","Protein Coding","Q01113","47","GC0XP155997","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL9R"
"INMT","Indolethylamine N-Methyltransferase","Protein Coding","O95050","47","GC07P030844","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INMT"
"IPO9","Importin 9","Protein Coding","Q96P70","47","GC01P201829","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO9"
"JOSD2","Josephin Domain Containing 2","Protein Coding","Q8TAC2","47","GC19M050505","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JOSD2"
"KCTD5","Potassium Channel Tetramerization Domain Containing 5","Protein Coding","Q9NXV2","47","GC16P002682","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCTD5"
"KNSTRN","Kinetochore Localized Astrin (SPAG5) Binding Protein","Protein Coding","Q9Y448","47","GC15P040382","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNSTRN"
"KRT25","Keratin 25","Protein Coding","Q7Z3Z0","47","GC17M040748","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT25"
"LCORL","Ligand Dependent Nuclear Receptor Corepressor Like","Protein Coding","Q8N3X6","47","GC04M017844","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCORL"
"LIN9","Lin-9 DREAM MuvB Core Complex Component","Protein Coding","Q5TKA1","47","GC01M226231","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN9"
"LRFN1","Leucine Rich Repeat And Fibronectin Type III Domain Containing 1","Protein Coding","Q9P244","47","GC19M100953","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRFN1"
"LRRC8C","Leucine Rich Repeat Containing 8 VRAC Subunit C","Protein Coding","Q8TDW0","47","GC01P089615","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC8C"
"MAMLD1","Mastermind Like Domain Containing 1","Protein Coding","Q13495","47","GC0XP150361","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAMLD1"
"MAP4K3","Mitogen-Activated Protein Kinase Kinase Kinase Kinase 3","Protein Coding","Q8IVH8","47","GC02M039249","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4K3"
"MAPK8IP2","Mitogen-Activated Protein Kinase 8 Interacting Protein 2","Protein Coding","Q13387","47","GC22P050600","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP2"
"MCTS1","MCTS1 Re-Initiation And Release Factor","Protein Coding","Q9ULC4","47","GC0XP120594","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCTS1"
"MDGA2","MAM Domain Containing Glycosylphosphatidylinositol Anchor 2","Protein Coding","Q7Z553","47","GC14M046839","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDGA2"
"MESP1","Mesoderm Posterior BHLH Transcription Factor 1","Protein Coding","Q9BRJ9","47","GC15M156044","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MESP1"
"MKRN1","Makorin Ring Finger Protein 1","Protein Coding","Q9UHC7","47","GC07M140453","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKRN1"
"MOB4","MOB Family Member 4, Phocein","Protein Coding","Q9Y3A3","47","GC02P197515","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOB4"
"MOXD1","Monooxygenase DBH Like 1","Protein Coding","Q6UVY6","47","GC06M132296","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOXD1"
"MPP2","MAGUK P55 Scaffold Protein 2","Protein Coding","Q14168","47","GC17M043875","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP2"
"MPP7","MAGUK P55 Scaffold Protein 7","Protein Coding","Q5T2T1","47","GC10M028462","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPP7"
"MYL6B","Myosin Light Chain 6B","Protein Coding","P14649","47","GC12P065374","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL6B"
"MYO1G","Myosin IG","Protein Coding","B0I1T2","47","GC07M044962","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1G"
"NCKIPSD","NCK Interacting Protein With SH3 Domain","Protein Coding","Q9NZQ3","47","GC03M048667","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCKIPSD"
"NMI","N-Myc And STAT Interactor","Protein Coding","Q13287","47","GC02M151270","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMI"
"NOBOX","NOBOX Oogenesis Homeobox","Protein Coding","O60393","47","GC07M144397","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOBOX"
"NOP53","NOP53 Ribosome Biogenesis Factor","Protein Coding","Q9NZM5","47","GC19P133330","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP53"
"NOSTRIN","Nitric Oxide Synthase Trafficking","Protein Coding","Q8IVI9","47","GC02P168786","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOSTRIN"
"NPAT","Nuclear Protein, Coactivator Of Histone Transcription","Protein Coding","Q14207","47","GC11M108157","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPAT"
"NUP37","Nucleoporin 37","Protein Coding","Q8NFH4","47","GC12M102073","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP37"
"NUSAP1","Nucleolar And Spindle Associated Protein 1","Protein Coding","Q9BXS6","47","GC15P175131","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUSAP1"
"OGFR","Opioid Growth Factor Receptor","Protein Coding","Q9NZT2","47","GC20P062804","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGFR"
"OLIG3","Oligodendrocyte Transcription Factor 3","Protein Coding","Q7RTU3","47","GC06M137492","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLIG3"
"P3H4","Prolyl 3-Hydroxylase Family Member 4 (Inactive)","Protein Coding","Q92791","47","GC17M041801","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P3H4"
"PCDHA10","Protocadherin Alpha 10","Protein Coding","Q9Y5I2","47","GC05P155476","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDHA10"
"PDIA5","Protein Disulfide Isomerase Family A Member 5","Protein Coding","Q14554","47","GC03P123067","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA5"
"PGA5","Pepsinogen A5","Protein Coding","P0DJD9","47","GC11P061241","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGA5"
"PIF1","PIF1 5'-To-3' DNA Helicase","Protein Coding","Q9H611","47","GC15M064815","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIF1"
"PLEKHA5","Pleckstrin Homology Domain Containing A5","Protein Coding","Q9HAU0","47","GC12P019129","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHA5"
"PLEKHB2","Pleckstrin Homology Domain Containing B2","Protein Coding","Q96CS7","47","GC02P149017","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHB2"
"PNPLA4","Patatin Like Phospholipase Domain Containing 4","Protein Coding","P41247","47","GC0XM007898","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA4"
"PPHLN1","Periphilin 1","Protein Coding","Q8NEY8","47","GC12P042238","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPHLN1"
"PPP1R3F","Protein Phosphatase 1 Regulatory Subunit 3F","Protein Coding","Q6ZSY5","47","GC0XP049269","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3F"
"PROK1","Prokineticin 1","Protein Coding","P58294","47","GC01P110451","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK1"
"PRORP","Protein Only RNase P Catalytic Subunit","Protein Coding","O15091","47","GC14P051926","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRORP"
"PRPF40A","Pre-MRNA Processing Factor 40 Homolog A","Protein Coding","O75400","47","GC02M152651","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF40A"
"PRPS1L1","Phosphoribosyl Pyrophosphate Synthetase 1 Like 1","Protein Coding","P21108","47","GC07M018026","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS1L1"
"PTCHD1","Patched Domain Containing 1","Protein Coding","Q96NR3","47","GC0XP023334","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCHD1"
"PTOV1","PTOV1 Extended AT-Hook Containing Adaptor Protein","Protein Coding","Q86YD1","47","GC19P049850","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTOV1"
"RAD51AP1","RAD51 Associated Protein 1","Protein Coding","Q96B01","47","GC12P046710","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51AP1"
"RBM25","RNA Binding Motif Protein 25","Protein Coding","P49756","47","GC14P073058","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM25"
"RGS16","Regulator Of G Protein Signaling 16","Protein Coding","O15492","47","GC01M182598","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS16"
"RIC8A","RIC8 Guanine Nucleotide Exchange Factor A","Protein Coding","Q9NPQ8","47","GC11P000207","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIC8A"
"RIMBP2","RIMS Binding Protein 2","Protein Coding","O15034","47","GC12M130396","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIMBP2"
"RNF144B","Ring Finger Protein 144B","Protein Coding","Q7Z419","47","GC06P018894","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF144B"
"RPRD1B","Regulation Of Nuclear Pre-MRNA Domain Containing 1B","Protein Coding","Q9NQG5","47","GC20P038033","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPRD1B"
"RTTN","Rotatin","Protein Coding","Q86VV8","47","GC18M070003","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTTN"
"S100A14","S100 Calcium Binding Protein A14","Protein Coding","Q9HCY8","47","GC01M153614","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A14"
"SAP130","Sin3A Associated Protein 130","Protein Coding","Q9H0E3","47","GC02M128704","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAP130"
"SCAF11","SR-Related CTD Associated Factor 11","Protein Coding","Q99590","47","GC12M045919","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAF11"
"SDF2L1","Stromal Cell Derived Factor 2 Like 1","Protein Coding","Q9HCN8","47","GC22P080934","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDF2L1"
"SENP6","SUMO Specific Peptidase 6","Protein Coding","Q9GZR1","47","GC06P075601","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SENP6"
"SERPINA11","Serpin Family A Member 11","Protein Coding","Q86U17","47","GC14M094442","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA11"
"SGO2","Shugoshin 2","Protein Coding","Q562F6","47","GC02P200511","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGO2"
"SGSM3","Small G Protein Signaling Modulator 3","Protein Coding","Q96HU1","47","GC22P040370","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGSM3"
"SIGLEC12","Sialic Acid Binding Ig Like Lectin 12","Protein Coding","Q96PQ1","47","GC19M051491","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGLEC12"
"SLC37A1","Solute Carrier Family 37 Member 1","Protein Coding","P57057","47","GC21P049369","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC37A1"
"SLC7A3","Solute Carrier Family 7 Member 3","Protein Coding","Q8WY07","47","GC0XM070926","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A3"
"SNRPB2","Small Nuclear Ribonucleoprotein Polypeptide B2","Protein Coding","P08579","47","GC20P016764","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPB2"
"SNX4","Sorting Nexin 4","Protein Coding","O95219","47","GC03M125446","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX4"
"SOX30","SRY-Box Transcription Factor 30","Protein Coding","O94993","47","GC05M157624","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX30"
"SPATA18","Spermatogenesis Associated 18","Protein Coding","Q8TC71","47","GC04P052051","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA18"
"SRSF10","Serine And Arginine Rich Splicing Factor 10","Protein Coding","O75494","47","GC01M023964","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF10"
"SSPN","Sarcospan","Protein Coding","Q14714","47","GC12P047256","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSPN"
"SULT1C4","Sulfotransferase Family 1C Member 4","Protein Coding","O75897","47","GC02P108377","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1C4"
"SUMF2","Sulfatase Modifying Factor 2","Protein Coding","Q8NBJ7","47","GC07P061161","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMF2"
"SYNM","Synemin","Protein Coding","O15061","47","GC15P099098","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNM"
"SYT3","Synaptotagmin 3","Protein Coding","Q9BQG1","47","GC19M050621","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYT3"
"TAF11","TATA-Box Binding Protein Associated Factor 11","Protein Coding","Q15544","47","GC06M100437","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF11"
"TENM4","Teneurin Transmembrane Protein 4","Protein Coding","Q6N022","47","GC11M078652","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENM4"
"TENT4B","Terminal Nucleotidyltransferase 4B","Protein Coding","Q8NDF8","47","GC16P112187","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT4B"
"TEX11","Testis Expressed 11","Protein Coding","Q8IYF3","47","GC0XM070735","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEX11"
"THAP11","THAP Domain Containing 11","Protein Coding","Q96EK4","47","GC16P105909","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THAP11"
"TIPARP","TCDD Inducible Poly(ADP-Ribose) Polymerase","Protein Coding","Q7Z3E1","47","GC03P156673","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIPARP"
"TMEM87B","Transmembrane Protein 87B","Protein Coding","Q96K49","47","GC02P151097","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM87B"
"TMTC2","Transmembrane O-Mannosyltransferase Targeting Cadherins 2","Protein Coding","Q8N394","47","GC12P082722","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMTC2"
"TNFAIP2","TNF Alpha Induced Protein 2","Protein Coding","Q03169","47","GC14P118108","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP2"
"TRMT10A","TRNA Methyltransferase 10A","Protein Coding","Q8TBZ6","47","GC04M099546","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT10A"
"TUBD1","Tubulin Delta 1","Protein Coding","Q9UJT1","47","GC17M059859","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBD1"
"UBA3","Ubiquitin Like Modifier Activating Enzyme 3","Protein Coding","Q8TBC4","47","GC03M069054","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA3"
"UBE2D4","Ubiquitin Conjugating Enzyme E2 D4","Protein Coding","Q9Y2X8","47","GC07P043926","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D4"
"UFL1","UFM1 Specific Ligase 1","Protein Coding","O94874","47","GC06P096521","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFL1"
"UNC79","Unc-79 Homolog, NALCN Channel Complex Subunit","Protein Coding","Q9P2D8","47","GC14P093333","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC79"
"USP12","Ubiquitin Specific Peptidase 12","Protein Coding","O75317","47","GC13M027066","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP12"
"UTP6","UTP6 Small Subunit Processome Component","Protein Coding","Q9NYH9","47","GC17M031860","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTP6"
"VAMP5","Vesicle Associated Membrane Protein 5","Protein Coding","O95183","47","GC02P086889","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP5"
"VASH1","Vasohibin 1","Protein Coding","Q7L8A9","47","GC14P076761","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASH1"
"VAT1","Vesicle Amine Transport 1","Protein Coding","Q99536","47","GC17M043014","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAT1"
"VMA21","Vacuolar ATPase Assembly Factor VMA21","Protein Coding","Q3ZAQ7","47","GC0XP151396","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VMA21"
"VPREB1","V-Set Pre-B Cell Surrogate Light Chain 1","Protein Coding","P12018","47","GC22P022244","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPREB1"
"VPS52","VPS52 Subunit Of GARP Complex","Protein Coding","Q8N1B4","47","GC06M100402","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS52"
"WRNIP1","WRN Helicase Interacting Protein 1","Protein Coding","Q96S55","47","GC06P002846","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRNIP1"
"XPO4","Exportin 4","Protein Coding","Q9C0E2","47","GC13M020777","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO4"
"XPO6","Exportin 6","Protein Coding","Q96QU8","47","GC16M028097","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO6"
"XRN1","5'-3' Exoribonuclease 1","Protein Coding","Q8IZH2","47","GC03M142306","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRN1"
"XYLB","Xylulokinase","Protein Coding","O75191","47","GC03P038411","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XYLB"
"ZNF592","Zinc Finger Protein 592","Protein Coding","Q92610","47","GC15P176147","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF592"
"ZNF687","Zinc Finger Protein 687","Protein Coding","Q8N1G0","47","GC01P151281","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF687"
"ZRSR2","Zinc Finger CCCH-Type, RNA Binding Motif And Serine/Arginine Rich 2","Protein Coding","Q15696","47","GC0XP015790","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZRSR2"
"AFM","Afamin","Protein Coding","P43652","46","GC04P073481","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFM"
"APOO","Apolipoprotein O","Protein Coding","Q9BUR5","46","GC0XM023834","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOO"
"ASB1","Ankyrin Repeat And SOCS Box Containing 1","Protein Coding","Q9Y576","46","GC02P238426","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASB1"
"ASB10","Ankyrin Repeat And SOCS Box Containing 10","Protein Coding","Q8WXI3","46","GC07M151175","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASB10"
"BRPF3","Bromodomain And PHD Finger Containing 3","Protein Coding","Q9ULD4","46","GC06P156439","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRPF3"
"CAPN12","Calpain 12","Protein Coding","Q6ZSI9","46","GC19M038730","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN12"
"CDK5RAP1","CDK5 Regulatory Subunit Associated Protein 1","Protein Coding","Q96SZ6","46","GC20M033358","0.0942853987216949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP1"
