Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D)
"Tryptophan 2,3-dioxygenase   (by homology)",TDO2,P48775,CHEMBL2140,Enzyme,0.100578902,9 /  0     
Acyl coenzyme A:cholesterol acyltransferase,CES1,P23141,CHEMBL2265,Enzyme,0.100578902,71 /  0     
Galanin receptor 3,GALR3,O60755,CHEMBL2731,Family A G protein-coupled receptor,0.100578902,3 /  0     
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.100578902,47 /  0     
N-acylsphingosine-amidohydrolase   (by homology),NAAA,Q02083,CHEMBL4349,Enzyme,0.100578902,34 /  0     
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.100578902,188 /  6     
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.100578902,19 /  0     
Orexin receptor 1   (by homology),HCRTR1,O43613,CHEMBL5113,Family A G protein-coupled receptor,0.100578902,290 /  0     
Myeloperoxidase,MPO,P05164,CHEMBL2439,Enzyme,0.100578902,22 /  0     
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.100578902,35 /  0     
Phosphodiesterase 4C,PDE4C,Q08493,CHEMBL291,Phosphodiesterase,0.100578902,9 /  0     
Histamine H4 receptor,HRH4,Q9H3N8,CHEMBL3759,Family A G protein-coupled receptor,0.100578902,29 /  0     
"Fatty acid-binding protein, liver   (by homology)",FABP1,P07148,CHEMBL5421,Fatty acid binding protein family,0.100578902,3 /  0     
Receptor-interacting serine/threonine-protein kinase 1,RIPK1,Q13546,CHEMBL5464,Kinase,0.100578902,2 /  0     
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.100578902,95 /  0     
Glycine transporter 1,SLC6A9,P48067,CHEMBL2337,Electrochemical transporter,0.100578902,8 /  0     
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.100578902,49 /  0     
Exportin-1,XPO1,O14980,CHEMBL5661,Unclassified protein,0.100578902,2 /  0     
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.100578902,212 /  9     
Cyclophilin A,PPIA,P62937,CHEMBL1949,Isomerase,0.100578902,24 /  0     
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,CHEMBL2288,Enzyme,0.100578902,2 /  0     
Melanocortin receptor 4,MC4R,P32245,CHEMBL259,Family A G protein-coupled receptor,0.100578902,23 /  0     
Cathepsin L,CTSL,P07711,CHEMBL3837,Protease,0.100578902,115 /  0     
Multidrug and toxin extrusion protein 1,SLC47A1,Q96FL8,CHEMBL1743126,Electrochemical transporter,1,2 /  1     
Multidrug and toxin extrusion protein 2,SLC47A2,Q86VL8,CHEMBL1743127,Electrochemical transporter,1,1 /  1     
Thromboxane-A synthase,TBXAS1,P24557,CHEMBL1835,Cytochrome P450,1,4 /  1     
Vasopressin V1a receptor,AVPR1A,P37288,CHEMBL1889,Family A G protein-coupled receptor,1,19 /  1     
Neurokinin 2 receptor,TACR2,P21452,CHEMBL2327,Family A G protein-coupled receptor,1,13 /  1     
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,1,43 /  1     
Cytochrome P450 2C9,CYP2C9,P11712,CHEMBL3397,Cytochrome P450,1,3 /  1     
Cytochrome P450 3A4,CYP3A4,P08684,CHEMBL340,Cytochrome P450,1,22 /  18     
Acyl coenzyme A:cholesterol acyltransferase 1,SOAT1,P35610,CHEMBL2782,Enzyme,0.020178064,43 /  0     
Acyl coenzyme A:cholesterol acyltransferase 2,SOAT2,O75908,CHEMBL4465,Enzyme,0.020178064,41 /  0     
Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0.020178064,71 /  0     
Serotonin 2c (5-HT2c) receptor,HTR2C,P28335,CHEMBL225,Family A G protein-coupled receptor,0.020178064,49 /  0     
Serotonin transporter,SLC6A4,P31645,CHEMBL228,Electrochemical transporter,0.020178064,131 /  0     
Neutral sphingomyelinase   (by homology),SMPD2,O60906,CHEMBL4712,Enzyme,0.020178064,3 /  0     
Ileal bile acid transporter,SLC10A2,Q12908,CHEMBL2778,Electrochemical transporter,0.020178064,17 /  0     
Dopamine D2 receptor,DRD2,P14416,CHEMBL217,Family A G protein-coupled receptor,0.020178064,49 /  0     
Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.020178064,9 /  0     
Dopamine D3 receptor,DRD3,P35462,CHEMBL234,Family A G protein-coupled receptor,0.020178064,32 /  0     
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.020178064,35 /  0     
Apoptosis regulator Bcl-2,BCL2,P10415,CHEMBL4860,Other ion channel,0.020178064,128 /  0     
